product_name,code_country,pnns_groups_1,pnns_groups_2,nutrition-score-uk_100g,nutrition-score-fr_100g,sodium_100g,salt_100g,proteins_100g,energy_100g,saturated-fat_100g,sugars_100g,fat_100g,carbohydrates_100g
30 Panach' Fruits,FRA,Sugary snacks,Biscuits and cakes,13.0,13.0,0.248031496062992,0.63,5.0,1724.0,2.0,31.0,18.0,57.0
Marks & Spencer Curiously Strong Mints,GBR,Beverages,Sweetened beverages,14.0,20.0,0.0,0.0,0.9,1665.0,0.5,96.0,0.5,96.0
All Buter Belgian White Chocolate Chunk Cookies,GBR,Sugary snacks,Biscuits and cakes,26.0,26.0,0.393700787401575,1.0,5.5,2172.0,17.0,33.5,29.1,58.4
Honey roast ham,GBR,Fish Meat Eggs,Processed meat,4.0,4.0,0.78740157480315,2.0,24.5,564.0,0.7,2.9,2.0,4.3
Pur Soup' Velouté de légumes,FRA,Fruits and vegetables,Soups,2.0,2.0,0.295275590551181,0.75,0.8,188.0,0.7,2.4,2.1,5.3
Pulled Pork & Chorizo Feijoada,GBR,Composite foods,One-dish meals,-4.0,-4.0,0.248031496062992,0.63,10.0,622.0,2.0,0.5,4.4,16.0
Reduced fat belgian chocolate chunk cookies,GBR,Sugary snacks,Biscuits and cakes,24.0,24.0,0.318897637795276,0.81,5.1,1928.0,10.1,44.4,17.7,68.5
Chocolate chunk cookies,USA,Sugary snacks,Biscuits and cakes,21.0,21.0,0.315,0.8001,5.1,2269.0,12.8,34.0,32.4,57.8
Chocolate Chunk Dark Double Chocolate Crispy Cookies,USA,Sugary snacks,Biscuits and cakes,21.0,21.0,0.31496062992126,0.8,3.8,2131.0,13.9,34.8,25.3,66.5
Chocolate Chunk Milk Chocolate Macadamia Crispy Cookies,USA,Sugary snacks,Biscuits and cakes,21.0,21.0,0.275590551181102,0.7,4.9,2230.0,14.3,32.6,30.4,60.1
Chocolate Chunk White Chocolate Macadamia Crispy Cookies,USA,Sugary snacks,Biscuits and cakes,20.0,20.0,0.31496062992126,0.8,5.0,2238.0,13.9,30.4,31.3,58.7
Pistaches XXL Poivre & Sel,DEU,Salty snacks,Nuts,23.0,23.0,0.9842519685039369,2.5,21.4,2444.0,5.6,7.8,46.0,17.4
Extrait de noix de coco,THA,unknown,unknown,12.0,12.0,0.0157,0.039878,2.06,916.0,20.8,0.0,22.5,2.85
Lait de coco,THA,Beverages,Non-sugared beverages,12.0,12.0,0.0196850393700787,0.05,1.6,746.0,17.0,2.0,19.0,2.0
Hand Cooked Potato Chips,GBR,Salty snacks,Appetizers,13.0,13.0,0.9566929133858271,2.43,5.2,2126.0,2.1,2.8,26.8,59.8
Hand Cooked Potato Chips Mature Cheddar & Caramelized Onion,GBR,Salty snacks,Appetizers,8.0,8.0,0.512,1.3004799999999999,6.1,2095.0,2.1,4.5,26.6,57.1
Crème de Marrons de l'Ardèche,FRA,unknown,unknown,11.0,11.0,0.00393700787401575,0.01,1.3,1147.0,0.2,50.2,0.8,63.6
Purée Tradition Bio,ITA,Fat and sauces,Dressings and sauces,-1.0,-1.0,0.393700787401575,1.0,1.19,126.0,0.0,5.6,0.1,5.6
Tomates jaunes entières pelées au jus,ITA,Fruits and vegetables,Vegetables,-6.0,-6.0,0.0393700787401575,0.1,1.2,88.0,0.0,0.0,0.5,3.0
Tomates pelées au jus - BIO,ITA,Fruits and vegetables,Vegetables,-6.0,-6.0,0.0393700787401575,0.1,1.2,21.0,0.0,3.1,0.1,3.4
Pain Soft White Farmhouse,GBR,Cereals and potatoes,Bread,-2.0,-2.0,0.295275590551181,0.75,9.2,1080.0,1.3,3.4,4.0,44.0
Gaufrettes fines,BEL,Sugary snacks,Biscuits and cakes,23.0,23.0,0.20472440944881898,0.52,6.1,2056.0,13.0,36.0,21.0,69.0
Peanut butter cups,USA,Sugary snacks,Chocolate products,29.0,29.0,0.3,0.762,10.2,2299.0,11.9,50.2,31.2,53.5
Pure Butter Chocolate Chip Shortbread,GBR,Sugary snacks,Biscuits and cakes,22.0,22.0,0.275590551181102,0.7,5.2,2168.0,17.2,25.7,27.6,61.3
Classic Yellow Mustard,USA,Fat and sauces,Dressings and sauces,5.0,5.0,1.1,2.7939999999999996,4.2,290.6,0.8,0.9,3.9,4.3
Soupe rustique aux légumes à l'italienne,USA,Composite foods,One-dish meals,-5.0,-5.0,0.3,0.762,2.0,264.0,0.4,1.6,2.9,7.3
"4 Steaks aux légumes, au quinoa et aux noix",USA,Composite foods,One-dish meals,3.0,3.0,0.6,1.524,3.8,510.0,0.0,2.8,4.2,18.0
6 scones aux raisins de Smyrne,GBR,Sugary snacks,Biscuits and cakes,17.0,17.0,0.531496062992126,1.35,6.7,1472.0,6.8,20.5,10.9,55.3
Riz gluant fermenté,TWN,Cereals and potatoes,Cereals,5.0,5.0,0.00656,0.0167,3.33,640.0,0.0,28.3,0.0,35.0
Weetabix original,GBR,Cereals and potatoes,Cereals,-4.0,-4.0,0.255905511811024,0.65,11.5,1498.0,0.6,4.4,2.0,68.6
Chocolat au lait aux noisettes entières,FRA,Sugary snacks,Chocolate products,21.0,21.0,0.075,0.191,10.0,2400.0,15.0,42.5,40.0,45.0
Marshmallow Fluff,USA,Sugary snacks,Sweets,14.0,14.0,0.0,0.0,1.0,1382.0,0.0,49.0,0.0,81.0
Marshmallow Fluff Fraise,USA,Sugary snacks,Sweets,14.0,14.0,0.0,0.0,1.0,1382.0,0.0,49.0,0.0,81.0
Pressed British Apple & Pear Juice,GBR,unknown,unknown,2.0,2.0,0.00394,0.0100076,0.2,195.0,0.1,10.4,0.1,10.4
Tomato & Mascarpone Pasta Sauce,ITA,Fat and sauces,Dressings and sauces,4.0,4.0,0.374015748031496,0.95,2.0,400.0,2.0,4.8,7.2,4.9
Fiorelli,ITA,Cereals and potatoes,Cereals,-5.0,-5.0,0.0393700787401575,0.1,12.3,1500.0,0.3,1.6,1.4,71.5
chicken & vegetable chow mein,GBR,Composite foods,One-dish meals,-3.0,-3.0,0.18897637795275601,0.48,6.3,320.0,0.2,1.4,1.3,8.7
Smokey Cajun chicken Jambalaya,GBR,Composite foods,One-dish meals,-3.0,-3.0,0.14960629921259802,0.38,5.9,386.0,0.2,2.0,1.0,13.9
Bertie Bottes Beans,USA,Sugary snacks,Sweets,14.0,14.0,0.0393700787401575,0.1,0.1,1570.0,0.1,70.4,0.1,92.0
Cookies Milk & Hazelnut Chunk Sensations,GBR,Sugary snacks,Biscuits and cakes,24.0,24.0,0.31496062992126,0.8,6.5,2228.0,14.0,33.8,30.7,57.3
Lait de Coco,MYS,Beverages,Non-sugared beverages,11.0,11.0,0.0236,0.059944000000000004,2.1,882.0,19.0,2.7,21.0,3.7
Cream Crackers,PRT,Salty snacks,Appetizers,12.0,12.0,0.433070866141732,1.1,9.5,1850.0,7.9,1.1,14.8,67.0
Custard creams,GBR,Sugary snacks,Biscuits and cakes,21.0,21.0,0.17716535433070899,0.45000000000000107,5.0,2037.0,12.4,28.4,20.8,68.6
Noodle Soup,KOR,Cereals and potatoes,Cereals,20.0,20.0,1.6,4.064,8.3,1756.0,6.7,2.5,13.3,65.0
All natural Yellow Mustard,USA,Fat and sauces,Dressings and sauces,8.0,8.0,1.5551181102362202,3.95,3.7,313.0,0.2,0.1,4.2,5.6
Noix de cajou grillées au miel,GBR,Salty snacks,Nuts,16.0,16.0,0.25,0.635,18.9,2530.0,10.0,15.2,45.1,28.8
Chocolate Chip Cookies,DNK,Sugary snacks,Biscuits and cakes,20.0,20.0,0.000333,0.0008470000000000001,6.06,2030.0,13.6,36.4,24.2,63.6
Pretzel pieces,USA,unknown,unknown,23.0,23.0,1.3385826771653502,3.4,7.6,2048.0,11.0,0.07,24.5,58.6
filets de cabillaud légèrement panés de farine assaisonnée,GBR,Composite foods,One-dish meals,-2.0,-2.0,0.34,0.8636,12.2,585.0,0.5,1.5,6.2,8.2
New Zealand Clover Honey,GBR,Sugary snacks,Sweets,14.0,14.0,0.0394,0.100076,0.1,1393.0,0.2,80.8,0.2,81.5
Pointes de bambou,THA,unknown,unknown,-4.0,-4.0,0.118110236220472,0.3,2.0,82.0,0.0,0.0,0.2,1.0
Frozen Fresh Durian,THA,Fruits and vegetables,Fruits,-6.0,-6.0,0.0,0.0,2.14,687.0,0.0,0.0,3.21,31.4
Jus de coco congelé,THA,Beverages,Fruit juices,-3.0,4.0,0.078740157480315,0.2,0.3,201.0,0.5,10.0,0.7,10.0
Chicken Tikka Mini Fillets,GBR,Fish Meat Eggs,Meat,1.0,1.0,0.523622047244094,1.33,27.2,602.0,0.5,1.1,2.9,1.9
"Boeuf Aberdeen Angus, Chutney d'oignon rouge et moutarde",GBR,unknown,unknown,-3.0,-3.0,0.275590551181102,0.7,11.0,665.0,1.0,2.6,3.8,19.0
Jarritos Tamarind,MEX,Beverages,Sweetened beverages,2.0,13.0,0.0187,0.0476,0.0,157.0,0.0,9.17,0.0,9.17
Le Bâtonnet Moelleux (10 Bâtonnets),FRA,Fish Meat Eggs,Fish and seafood,4.0,4.0,0.708661417322835,1.8,8.0,481.0,0.4,3.0,4.5,10.5
spiced British apple juice,GBR,Beverages,Fruit juices,-3.0,4.0,0.0393700787401575,0.1,0.1,190.0,0.1,10.4,0.1,10.4
Petites galettes pépites de chocolat ,FRA,Sugary snacks,Biscuits and cakes,20.0,20.0,0.299212598425197,0.76,7.5,2042.0,11.0,27.0,18.0,72.0
Bisque de Homard,FRA,Composite foods,One-dish meals,1.0,1.0,0.22834645669291298,0.58,3.1,181.0,0.7,0.7,2.1,3.0
La Choucroute du temps retrouvé,FRA,Composite foods,One-dish meals,2.0,2.0,0.512,1.3004799999999999,6.8,568.0,3.9,0.0,11.0,1.6
Dinde farcie,FRA,Composite foods,One-dish meals,3.0,3.0,0.216535433070866,0.55,18.9,755.0,5.7,2.9,10.1,3.0
